Count,Tradelist Count,Name,Edition,Card Number,Condition,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
4,,Morsel Theft,Morningtide,68,,,,,,,,,0.05
4,,Mosquito Guard,Morningtide,18,,,,,,,,,0.05
4,,Mothdust Changeling,Morningtide,42,,,,,,,,,0.05
4,,Mudbutton Clanger,Morningtide,95,,,,,,,,,0.04
4,,Negate,Morningtide,43,,,,,,,,,0.05
4,,Nevermaker,Morningtide,44,,,,,,,,,0.07
4,,Nightshade Schemers,Morningtide,69,,,,,,,,,0.07
4,,Noggin Whack,Morningtide,70,,,,,,,,,0.08
4,,Obsidian Battle-Axe,Morningtide,144,,,,,,,,,0.07
4,,Offalsnout,Morningtide,71,,,,,,,,,0.05
2,,Oona's Blackguard,Morningtide,72,,,,,,,,,0.78
4,,Orchard Warden,Morningtide,131,,,,,,,,,0.09
4,,Order of the Golden Cricket,Morningtide,19,,,,,,,,,0.05
7,,Pack's Disdain,Morningtide,73,,,,,,,,,0.05
4,,Prickly Boggart,Morningtide,74,,,,,,,,,0.05
4,,Pulling Teeth,Morningtide,75,,,,,,,,,0.02
4,,Pyroclast Consul,Morningtide,96,,,,,,,,,0.03
4,,Rage Forger,Morningtide,97,,,,,,,,,0.1
4,,Recross the Paths,Morningtide,133,,,,,,,,,0.08
4,,Redeem the Lost,Morningtide,21,,,,,,,,,0.04
4,,Reins of the Vinesteed,Morningtide,134,,,,,,,,,0.03
4,,Release the Ants,Morningtide,98,,,,,,,,,0.05
4,,Research the Deep,Morningtide,46,,,,,,,,,0.05
4,,Revive the Fallen,Morningtide,76,,,,,,,,,0.05
3,,Rivals' Duel,Morningtide,99,,,,,,,,,0.05
4,,Roar of the Crowd,Morningtide,100,,,,,,,,,0.05
4,,Sage of Fables,Morningtide,47,,,,,,,,,1.66
4,,Sage's Dousing,Morningtide,48,,,,,,,,,0.08
4,,Seething Pathblazer,Morningtide,101,,,,,,,,,0.01
4,,Shard Volley,Morningtide,103,,,,,,,,,0.7
4,,Shinewend,Morningtide,23,,,,,,,,,0.05
4,,Spitebellows,Morningtide,105,,,,,,,,,0.04
4,,Squeaking Pie Grubfellows,Morningtide,78,,,,,,,,,0.03
4,,Stingmoggie,Morningtide,106,,,,,,,,,0.05
4,,Stinkdrinker Bandit,Morningtide,80,,,,,,,,,0.14
4,,Stomping Slabs,Morningtide,107,,,,,,,,,0.05
4,,Stonybrook Schoolmaster,Morningtide,25,,,,,,,,,0.05
4,,Stream of Unconsciousness,Morningtide,52,,,,,,,,,0.05
4,,Sunflare Shaman,Morningtide,108,,,,,,,,,0.05
4,,Swell of Courage,Morningtide,26,,,,,,,,,0.06
4,,Thieves' Fortune,Morningtide,54,,,,,,,,,0.06
4,,Thornbite Staff,Morningtide,145,,,,,,,,,0.74
1,,Vendilion Clique,Morningtide,55,,,,,,,,,24
4,,Veteran's Armaments,Morningtide,146,,,,,,,,,0.08
4,,Violet Pall,Morningtide,81,,,,,,,,,0.05
4,,Walker of the Grove,Morningtide,138,,,,,,,,,0.07
4,,Wandering Graybeard,Morningtide,27,,,,,,,,,0.04
4,,Warren Weirding,Morningtide,82,,,,,,,,,0.06
4,,War-Spike Changeling,Morningtide,112,,,,,,,,,0.05
4,,Waterspout Weavers,Morningtide,56,,,,,,,,,0.07
4,,Weed-Pruner Poplar,Morningtide,83,,,,,,,,,0.05
4,,Weight of Conscience,Morningtide,28,,,,,,,,,0.05
4,,Winnower Patrol,Morningtide,139,,,,,,,,,0.04
4,,Wolf-Skull Shaman,Morningtide,140,,,,,,,,,0.2
4,,Advice from the Fae,Shadowmoor,28,,,,,,,,,0.07
4,,Aethertow,Shadowmoor,136,,,,,,,,,0.04
4,,Aphotic Wisps,Shadowmoor,55,,,,,,,,,0.05
4,,Apothecary Initiate,Shadowmoor,1,,,,,,,,,0.03
4,,Armored Ascension,Shadowmoor,2,,,,,,,,,0.09
4,,Ashenmoor Cohort,Shadowmoor,56,,,,,,,,,0.02
4,,Ashenmoor Gouger,Shadowmoor,180,,,,,,,,,0.06
4,,Ballynock Cohort,Shadowmoor,3,,,,,,,,,0.05
4,,Barkshell Blessing,Shadowmoor,224,,,,,,,,,0.03
4,,Barrenton Cragtreads,Shadowmoor,138,,,,,,,,,0.04
4,,Barrenton Medic,Shadowmoor,4,,,,,,,,,0.03
4,,Beseech the Queen,Shadowmoor,57,,,,,,,,,1.75
4,,Biting Tether,Shadowmoor,29,,,,,,,,,0.07
4,,Blazethorn Scarecrow,Shadowmoor,246,,,,,,,,,0.05
4,,Blight Sickle,Shadowmoor,247,,,,,,,,,0.07
4,,Blistering Dieflyn,Shadowmoor,82,,,,,,,,,0.03
4,,Bloodshed Fever,Shadowmoor,84,,,,,,,,,0.04
4,,Blowfly Infestation,Shadowmoor,58,,,,,,,,,2.53
4,,Boggart Arsonists,Shadowmoor,85,,,,,,,,,0.04
4,,Boggart Ram-Gang,Shadowmoor,203,,,,,,,,,0.44
4,,Briarberry Cohort,Shadowmoor,30,,,,,,,,,0.05
4,,Burn Trail,Shadowmoor,86,,,,,,,,,0.03
4,,Cerulean Wisps,Shadowmoor,31,,,,,,,,,0.13
4,,Chainbreaker,Shadowmoor,249,,,,,,,,,0.05
4,,Cinderbones,Shadowmoor,59,,,,,,,,,0.05
4,,Cinderhaze Wretch,Shadowmoor,60,,,,,,,,,0.05
4,,Consign to Dream,Shadowmoor,32,,,,,,,,,0.05
3,,Corrosive Mentor,Shadowmoor,61,,,,,,,,,0.99
4,,Corrupt,Shadowmoor,62,,,,,,,,,0.06
4,,Crabapple Cohort,Shadowmoor,109,,,,,,,,,0.01
1,,Crimson Wisps,Shadowmoor,88,,,,,,,,,0.19
4,,Crowd of Cinders,Shadowmoor,63,,,,,,,,,0.05
4,,Cultbrand Cinder,Shadowmoor,182,,,,,,,,,0.05
4,,Curse of Chains,Shadowmoor,139,,,,,,,,,0.19
4,,Cursecatcher,Shadowmoor,34,,,,,,,,,7.33
4,,Dawnglow Infusion,Shadowmoor,225,,,,,,,,,0.15
4,,Deepchannel Mentor,Shadowmoor,35,,,,,,,,,0.24
4,,Devoted Druid,Shadowmoor,110,,,,,,,,,6.15
4,,Disturbing Plot,Shadowmoor,64,,,,,,,,,0.05
4,,Drove of Elves,Shadowmoor,112,,,,,,,,,0.38
4,,Drowner Initiate,Shadowmoor,36,,,,,,,,,0.05
4,,Elsewhere Flask,Shadowmoor,250,,,,,,,,,0.05
4,,Elvish Hexhunter,Shadowmoor,226,,,,,,,,,0.05
4,,Ember Gale,Shadowmoor,91,,,,,,,,,0.04
4,,Emberstrike Duo,Shadowmoor,185,,,,,,,,,0.05
4,,Faerie Macabre,Shadowmoor,66,,,,,,,,,0.19
4,,Fate Transfer,Shadowmoor,161,,,,,,,,,0.05
4,,Firespout,Shadowmoor,205,,,,,,,,,0.45
4,,Fists of the Demigod,Shadowmoor,187,,,,,,,,,0.05
4,,Flame Javelin,Shadowmoor,92,,,,,,,,,0.07
4,,Flourishing Defenses,Shadowmoor,114,,,,,,,,,0.91
4,,Flow of Ideas,Shadowmoor,38,,,,,,,,,0.07
4,,Fossil Find,Shadowmoor,206,,,,,,,,,0.06
4,,Foxfire Oak,Shadowmoor,115,,,,,,,,,0.05
4,,Ghastly Discovery,Shadowmoor,39,,,,,,,,,0.04
4,,Giantbaiting,Shadowmoor,207,,,,,,,,,0.05
4,,Glamer Spinners,Shadowmoor,141,,,,,,,,,0.07
1,,Gleeful Sabotage,Shadowmoor,116,,,,,,,,,0.45
4,,Gloomlance,Shadowmoor,67,,,,,,,,,0.04
4,,Gloomwidow,Shadowmoor,117,,,,,,,,,0.04
4,,Gloomwidow's Feast,Shadowmoor,118,,,,,,,,,0.04
4,,Gnarled Effigy,Shadowmoor,251,,,,,,,,,0.06
4,,Goldenglow Moth,Shadowmoor,6,,,,,,,,,0.05
4,,Gravelgill Axeshark,Shadowmoor,164,,,,,,,,,0.05
4,,Gravelgill Duo,Shadowmoor,165,,,,,,,,,0.04
4,,Grief Tyrant,Shadowmoor,189,,,,,,,,,0.07
4,,Guttural Response,Shadowmoor,208,,,,,,,,,0.4
4,,Heap Doll,Shadowmoor,253,,,,,,,,,0.09
4,,Helm of the Ghastlord,Shadowmoor,166,,,,,,,,,0.09
4,,Hollowsage,Shadowmoor,69,,,,,,,,,0.08
4,,Horde of Boggarts,Shadowmoor,94,,,,,,,,,0.23
4,,Howl of the Night Pack,Shadowmoor,119,,,,,,,,,0.09
4,,Hungry Spriggan,Shadowmoor,120,,,,,,,,,0.03
4,,Illuminated Folio,Shadowmoor,254,,,,,,,,,0.05
4,,Incremental Blight,Shadowmoor,70,,,,,,,,,0.12
4,,Inescapable Brute,Shadowmoor,95,,,,,,,,,0.03
4,,Inkfathom Infiltrator,Shadowmoor,167,,,,,,,,,0.61
4,,Inkfathom Witch,Shadowmoor,168,,,,,,,,,0.06
4,,Inquisitor's Snare,Shadowmoor,8,,,,,,,,,0.03
4,,Intimidator Initiate,Shadowmoor,96,,,,,,,,,0.07
4,,Jaws of Stone,Shadowmoor,97,,,,,,,,,0.05
4,,Juvenile Gloomwidow,Shadowmoor,121,,,,,,,,,0.08
4,,Kinscaer Harpoonist,Shadowmoor,41,,,,,,,,,0.02
4,,Kitchen Finks,Shadowmoor,229,,,,,,,,,8.95
4,,Kithkin Rabble,Shadowmoor,9,,,,,,,,,0.09
4,,Kithkin Shielddare,Shadowmoor,10,,,,,,,,,0.05
4,,Last Breath,Shadowmoor,11,,,,,,,,,0.05
4,,Leech Bonder,Shadowmoor,43,,,,,,,,,0.09
4,,Leechridden Swamp,Shadowmoor,273,,,,,,,,,0.43
4,,Loamdragger Giant,Shadowmoor,210,,,,,,,,,0.03
4,,Loch Korrigan,Shadowmoor,71,,,,,,,,,0.01
4,,Lockjaw Snapper,Shadowmoor,255,,,,,,,,,0.09
4,,Lurebound Scarecrow,Shadowmoor,256,,,,,,,,,0.09
4,,Madblind Mountain,Shadowmoor,274,,,,,,,,,0.09
4,,Manaforge Cinder,Shadowmoor,191,,,,,,,,,0.1
4,,Manamorphose,Shadowmoor,211,,,,,,,,,4.49
4,,Medicine Runner,Shadowmoor,230,,,,,,,,,0.05
4,,Memory Sluice,Shadowmoor,170,,,,,,,,,0.25
4,,Mercy Killing,Shadowmoor,231,,,,,,,,,0.24
4,,Merrow Grimeblotter,Shadowmoor,171,,,,,,,,,0.05
4,,Merrow Wavebreakers,Shadowmoor,44,,,,,,,,,0.04
4,,Mine Excavation,Shadowmoor,13,,,,,,,,,0.05
4,,Mistmeadow Skulk,Shadowmoor,14,,,,,,,,,0.1
4,,Mistmeadow Witch,Shadowmoor,144,,,,,,,,,0.08
1,,Mistveil Plains,Shadowmoor,275,,,,,,,,,3.49
4,,Moonring Island,Shadowmoor,276,,,,,,,,,0.08
4,,Morselhoarder,Shadowmoor,212,,,,,,,,,0.05
4,,Mudbrawler Cohort,Shadowmoor,100,,,,,,,,,0.05
4,,Mudbrawler Raiders,Shadowmoor,213,,,,,,,,,0.03
4,,Murderous Redcap,Shadowmoor,192,,,,,,,,,0.45
4,,Niveous Wisps,Shadowmoor,15,,,,,,,,,0.05
4,,Nurturer Initiate,Shadowmoor,124,,,,,,,,,0.03
4,,Old Ghastbark,Shadowmoor,232,,,,,,,,,0.05
4,,Oona's Gatewarden,Shadowmoor,173,,,,,,,,,0.05
4,,Pale Wayfarer,Shadowmoor,17,,,,,,,,,0.06
4,,Parapet Watchers,Shadowmoor,45,,,,,,,,,0.03
4,,Pili-Pala,Shadowmoor,258,,,,,,,,,0.75
4,,Plumeveil,Shadowmoor,145,,,,,,,,,0.09
4,,Poison the Well,Shadowmoor,193,,,,,,,,,0.05
4,,Power of Fire,Shadowmoor,101,,,,,,,,,0.05
4,,Presence of Gond,Shadowmoor,125,,,,,,,,,0.75
4,,Prismwake Merrow,Shadowmoor,46,,,,,,,,,0.03
4,,Prison Term,Shadowmoor,18,,,,,,,,,0.7
4,,Puncture Bolt,Shadowmoor,102,,,,,,,,,0.04
4,,Puresight Merrow,Shadowmoor,146,,,,,,,,,0.05
4,,Put Away,Shadowmoor,48,,,,,,,,,0.05
4,,Pyre Charger,Shadowmoor,103,,,,,,,,,0.07
4,,Raking Canopy,Shadowmoor,127,,,,,,,,,0.19
4,,Rattleblaze Scarecrow,Shadowmoor,259,,,,,,,,,0.05
4,,Raven's Run Dragoon,Shadowmoor,235,,,,,,,,,0.05
4,,Reknit,Shadowmoor,236,,,,,,,,,0.06
4,,Repel Intruders,Shadowmoor,147,,,,,,,,,0.07
4,,Resplendent Mentor,Shadowmoor,19,,,,,,,,,0.08
4,,Revelsong Horn,Shadowmoor,261,,,,,,,,,0.05
4,,River's Grasp,Shadowmoor,174,,,,,,,,,0.05
4,,Roughshod Mentor,Shadowmoor,128,,,,,,,,,0.05
4,,Rune-Cervin Rider,Shadowmoor,20,,,,,,,,,0.03
4,,Runes of the Deus,Shadowmoor,215,,,,,,,,,0.09
4,,Rustrazor Butcher,Shadowmoor,105,,,,,,,,,0.05
4,,Safehold Duo,Shadowmoor,238,,,,,,,,,0.05
4,,Safehold Elite,Shadowmoor,239,,,,,,,,,0.24
4,,Safehold Sentry,Shadowmoor,22,,,,,,,,,0.03
4,,Safewright Quest,Shadowmoor,240,,,,,,,,,0.09
4,,Sapseep Forest,Shadowmoor,279,,,,,,,,,0.08
4,,Scar,Shadowmoor,194,,,,,,,,,0.04
4,,Scarscale Ritual,Shadowmoor,175,,,,,,,,,0.05
4,,Scrapbasket,Shadowmoor,262,,,,,,,,,0.05
4,,Scuttlemutt,Shadowmoor,263,,,,,,,,,0.09
4,,Scuzzback Marauders,Shadowmoor,216,,,,,,,,,0.05
4,,Scuzzback Scrapper,Shadowmoor,217,,,,,,,,,0.07
4,,Seedcradle Witch,Shadowmoor,241,,,,,,,,,0.07
4,,Shield of the Oversoul,Shadowmoor,242,,,,,,,,,0.72
4,,Sickle Ripper,Shadowmoor,77,,,,,,,,,0.04
4,,Silkbind Faerie,Shadowmoor,148,,,,,,,,,0.05
4,,Sinking Feeling,Shadowmoor,51,,,,,,,,,0.05
4,,Slinking Giant,Shadowmoor,106,,,,,,,,,0.06
4,,Smash to Smithereens,Shadowmoor,107,,,,,,,,,0.14
4,,Smolder Initiate,Shadowmoor,78,,,,,,,,,0.05
4,,Somnomancer,Shadowmoor,149,,,,,,,,,0.05
4,,Sootstoke Kindler,Shadowmoor,195,,,,,,,,,0.05
4,,Sootwalkers,Shadowmoor,196,,,,,,,,,0.03
4,,Spell Syphon,Shadowmoor,52,,,,,,,,,0.05
4,,Spiteflame Witch,Shadowmoor,197,,,,,,,,,0.08
4,,Splitting Headache,Shadowmoor,79,,,,,,,,,0.02
4,,Steel of the Godhead,Shadowmoor,150,,,,,,,,,1
4,,Strip Bare,Shadowmoor,24,,,,,,,,,0.04
4,,Tatterkite,Shadowmoor,264,,,,,,,,,0.11
4,,Tattermunge Duo,Shadowmoor,218,,,,,,,,,0.02
4,,Tattermunge Witch,Shadowmoor,220,,,,,,,,,0.08
4,,Thistledown Duo,Shadowmoor,152,,,,,,,,,0.03
4,,Thornwatch Scarecrow,Shadowmoor,265,,,,,,,,,0.05
4,,Thoughtweft Gambit,Shadowmoor,154,,,,,,,,,0.05
4,,Toil to Renown,Shadowmoor,130,,,,,,,,,0.05
4,,Torpor Dust,Shadowmoor,177,,,,,,,,,0.01
4,,Torrent of Souls,Shadowmoor,199,,,,,,,,,0.09
4,,Torture,Shadowmoor,80,,,,,,,,,0.05
4,,Tower Above,Shadowmoor,131,,,,,,,,,0.06
4,,Traitor's Roar,Shadowmoor,200,,,,,,,,,0.05
4,,Trip Noose,Shadowmoor,266,,,,,,,,,0.06
4,,Turn to Mist,Shadowmoor,155,,,,,,,,,0.05
2,,Umbral Mantle,Shadowmoor,267,,,,,,,,,3.4
4,,Viridescent Wisps,Shadowmoor,132,,,,,,,,,0.05
4,,Wanderbrine Rootcutters,Shadowmoor,178,,,,,,,,,0.04
4,,Wasp Lancer,Shadowmoor,179,,,,,,,,,0.05
4,,Watchwing Scarecrow,Shadowmoor,268,,,,,,,,,0.05
4,,Whimwader,Shadowmoor,54,,,,,,,,,0.01
4,,Wicker Warcrawler,Shadowmoor,269,,,,,,,,,0.09
4,,Wild Swing,Shadowmoor,108,,,,,,,,,0.08
4,,Wildslayer Elves,Shadowmoor,133,,,,,,,,,0.05
1,,Wilt-Leaf Cavaliers,Shadowmoor,244,,,,,,,,,0.25
4,,Wingrattle Scarecrow,Shadowmoor,270,,,,,,,,,0.1
4,,Woeleecher,Shadowmoor,27,,,,,,,,,0.02
4,,Zealous Guardian,Shadowmoor,157,,,,,,,,,0.05
4,,Aerie Ouphes,Eventide,65,,,,,,,,,0.05
4,,Antler Skulkin,Eventide,167,,,,,,,,,0.05
4,,Ballynock Trapper,Eventide,2,,,,,,,,,0.03
4,,Banishing Knack,Eventide,17,,,,,,,,,0.05
4,,Battlegate Mimic,Eventide,133,,,,,,,,,0.05
4,,Batwing Brume,Eventide,81,,,,,,,,,0.99
4,,Beckon Apparition,Eventide,82,,,,,,,,,0.05
4,,Belligerent Hatchling,Eventide,134,,,,,,,,,0.07
4,,Bloodied Ghost,Eventide,83,,,,,,,,,0.05
4,,Cache Raiders,Eventide,18,,,,,,,,,0.07
4,,Canker Abomination,Eventide,115,,,,,,,,,0.13
4,,Cankerous Thirst,Eventide,116,,,,,,,,,0.07
4,,Cauldron Haze,Eventide,84,,,,,,,,,0.32
4,,Cenn's Enlistment,Eventide,3,,,,,,,,,0.05
4,,Chaotic Backlash,Eventide,49,,,,,,,,,0.06
4,,Cinder Pyromancer,Eventide,50,,,,,,,,,0.05
4,,Clout of the Dominus,Eventide,99,,,,,,,,,0.19
4,,Crag Puca,Eventide,101,,,,,,,,,0.05
5,,Creakwood Ghoul,Eventide,34,,,,,,,,,0.07
4,,Desecrator Hag,Eventide,119,,,,,,,,,0.04
4,,Double Cleave,Eventide,135,,,,,,,,,0.05
4,,Drain the Well,Eventide,121,,,,,,,,,0.05
3,,Dream Fracture,Eventide,19,,,,,,,,,0.14
4,,Dream Thief,Eventide,20,,,,,,,,,0.05
4,,Duergar Assailant,Eventide,136,,,,,,,,,0.03
4,,Duergar Cave-Guard,Eventide,51,,,,,,,,,0.08
4,,Duergar Hedge-Mage,Eventide,137,,,,,,,,,0.12
4,,Duergar Mine-Captain,Eventide,138,,,,,,,,,0.08
4,,Duskdale Wurm,Eventide,67,,,,,,,,,0.05
4,,Edge of the Divinity,Eventide,87,,,,,,,,,0.48
4,,Endure,Eventide,5,,,,,,,,,0.04
4,,Fang Skulkin,Eventide,168,,,,,,,,,0.04
4,,Favor of the Overbeing,Eventide,151,,,,,,,,,0.05
4,,Fire at Will,Eventide,140,,,,,,,,,0.04
4,,Flame Jab,Eventide,53,,,,,,,,,0.05
4,,Flickerwisp,Eventide,6,,,,,,,,,0.82
4,,Gift of the Deity,Eventide,122,,,,,,,,,0.05
4,,Gilder Bairn,Eventide,152,,,,,,,,,2.5
4,,Grazing Kelpie,Eventide,153,,,,,,,,,0.04
4,,Groundling Pouncer,Eventide,154,,,,,,,,,0.05
4,,Gwyllion Hedge-Mage,Eventide,89,,,,,,,,,0.07
4,,Hag Hedge-Mage,Eventide,123,,,,,,,,,0.06
4,,Harvest Gwyllion,Eventide,90,,,,,,,,,0.02
4,,Hatchet Bully,Eventide,54,,,,,,,,,0.05
4,,Hearthfire Hobgoblin,Eventide,141,,,,,,,,,0.08
4,,Heartlash Cinder,Eventide,56,,,,,,,,,0.03
4,,Hobgoblin Dragoon,Eventide,142,,,,,,,,,0.05
4,,Hoof Skulkin,Eventide,169,,,,,,,,,0.04
4,,Hotheaded Giant,Eventide,57,,,,,,,,,0.03
4,,Idle Thoughts,Eventide,23,,,,,,,,,0.06
4,,Impelled Giant,Eventide,58,,,,,,,,,0.09
4,,Indigo Faerie,Eventide,24,,,,,,,,,0.07
4,,Inside Out,Eventide,103,,,,,,,,,0.05
4,,Invert the Skies,Eventide,155,,,,,,,,,0.07
4,,Jawbone Skulkin,Eventide,170,,,,,,,,,0.04
4,,Kithkin Spellduster,Eventide,8,,,,,,,,,0.02
4,,Kithkin Zealot,Eventide,9,,,,,,,,,0.03
4,,Lingering Tormentor,Eventide,36,,,,,,,,,0.08
4,,Loyal Gyrfalcon,Eventide,11,,,,,,,,,0.07
4,,Marshdrinker Giant,Eventide,69,,,,,,,,,0.07
4,,Merrow Bonegnawer,Eventide,37,,,,,,,,,0.03
4,,Merrow Levitator,Eventide,26,,,,,,,,,0.04
4,,Monstrify,Eventide,70,,,,,,,,,0.03
4,,Moonhold,Eventide,143,,,,,,,,,0.07
4,,Nettle Sentinel,Eventide,71,,,,,,,,,1.35
4,,Nightsky Mimic,Eventide,91,,,,,,,,,0.1
4,,Nip Gwyllion,Eventide,92,,,,,,,,,0.09
4,,Noggle Bandit,Eventide,106,,,,,,,,,0.05
4,,Noggle Bridgebreaker,Eventide,107,,,,,,,,,0.03
4,,Noggle Hedge-Mage,Eventide,108,,,,,,,,,0.07
4,,Noggle Ransacker,Eventide,109,,,,,,,,,0.07
4,,Noxious Hatchling,Eventide,124,,,,,,,,,0.08
4,,Nucklavee,Eventide,110,,,,,,,,,0.07
4,,Odious Trow,Eventide,125,,,,,,,,,0.03
4,,Oona's Grace,Eventide,27,,,,,,,,,0.05
4,,Outrage Shaman,Eventide,59,,,,,,,,,0.07
4,,Patrol Signaler,Eventide,12,,,,,,,,,0.09
4,,Phosphorescent Feast,Eventide,72,,,,,,,,,0.05
4,,Puncture Blast,Eventide,60,,,,,,,,,0.04
4,,Quillspike,Eventide,126,,,,,,,,,1.81
4,,Raven's Crime,Eventide,41,,,,,,,,,0.48
4,,Razorfin Abolisher,Eventide,28,,,,,,,,,0.08
4,,Recumbent Bliss,Eventide,13,,,,,,,,,0.05
4,,Rendclaw Trow,Eventide,127,,,,,,,,,0.05
4,,Restless Apparition,Eventide,94,,,,,,,,,0.09
4,,Riverfall Mimic,Eventide,111,,,,,,,,,0.05
4,,Savage Conception,Eventide,75,,,,,,,,,0.06
4,,Scourge of the Nobilis,Eventide,146,,,,,,,,,0.05
4,,Selkie Hedge-Mage,Eventide,158,,,,,,,,,0.08
4,,Shell Skulkin,Eventide,173,,,,,,,,,0.04
4,,Shorecrasher Mimic,Eventide,159,,,,,,,,,0.04
4,,Shrewd Hatchling,Eventide,112,,,,,,,,,0.05
4,,Slippery Bogle,Eventide,160,,,,,,,,,0.85
4,,Smoldering Butcher,Eventide,42,,,,,,,,,0.03
4,,Snakeform,Eventide,161,,,,,,,,,0.08
4,,Soot Imp,Eventide,43,,,,,,,,,0.08
4,,Soul Reap,Eventide,44,,,,,,,,,0.04
4,,Soul Snuffers,Eventide,45,,,,,,,,,0.24
1,,Spitemare,Eventide,147,,,,,,,,,0.69
4,,Springjack Shepherd,Eventide,15,,,,,,,,,0.75
4,,Stalker Hag,Eventide,129,,,,,,,,,0.08
4,,Stream Hopper,Eventide,113,,,,,,,,,0.04
8,,Sturdy Hatchling,Eventide,163,,,,,,,,,0.09
4,,Suture Spirit,Eventide,16,,,,,,,,,0.07
4,,Swirling Spriggan,Eventide,76,,,,,,,,,0.05
4,,Syphon Life,Eventide,46,,,,,,,,,0.07
4,,Talara's Bane,Eventide,47,,,,,,,,,0.03
4,,Talonrend,Eventide,30,,,,,,,,,0.07
4,,Tilling Treefolk,Eventide,78,,,,,,,,,0.09
4,,Trapjaw Kelpie,Eventide,164,,,,,,,,,0.04
4,,Twinblade Slasher,Eventide,79,,,,,,,,,0.18
4,,Unmake,Eventide,96,,,,,,,,,0.54
4,,Unnerving Assault,Eventide,114,,,,,,,,,0.07
4,,Unwilling Recruit,Eventide,64,,,,,,,,,0.08
4,,Voracious Hatchling,Eventide,97,,,,,,,,,0.21
4,,Wickerbough Elder,Eventide,80,,,,,,,,,0.09
4,,Wilderness Hypnotist,Eventide,32,,,,,,,,,0.04
4,,Woodlurker Mimic,Eventide,130,,,,,,,,,0.05
3,,Agony Warp,Shards of Alara,153,,,,,,,,,0.05
4,,Akrasan Squire,Shards of Alara,1,,,,,,,,,0.1
4,,Algae Gharial,Shards of Alara,123,,,,,,,,,0.05
4,,Angelic Benediction,Shards of Alara,3,,,,,,,,,0.06
4,,Angel's Herald,Shards of Alara,2,,,,,,,,,0.04
4,,Angelsong,Shards of Alara,4,,,,,,,,,0.05
4,,Arcane Sanctum,Shards of Alara,220,,,,,,,,,0.49
4,,Banewasp Affliction,Shards of Alara,65,,,,,,,,,0.03
4,,Bant Battlemage,Shards of Alara,5,,,,,,,,,0.04
4,,Bant Charm,Shards of Alara,155,,,,,,,,,0.35
4,,Bant Panorama,Shards of Alara,221,,,,,,,,,0.05
4,,Behemoth's Herald,Shards of Alara,124,,,,,,,,,0.05
4,,Blightning,Shards of Alara,156,,,,,,,,,0.3
4,,Blister Beetle,Shards of Alara,66,,,,,,,,,0.04
4,,Blood Cultist,Shards of Alara,157,,,,,,,,,0.05
4,,Bloodpyre Elemental,Shards of Alara,93,,,,,,,,,0.03
4,,Bloodthorn Taunter,Shards of Alara,94,,,,,,,,,0.04
4,,Bone Splinters,Shards of Alara,67,,,,,,,,,0.05
4,,Branching Bolt,Shards of Alara,158,,,,,,,,,0.05
4,,Bull Cerodon,Shards of Alara,161,,,,,,,,,0.05
4,,Call to Heel,Shards of Alara,32,,,,,,,,,0.05
4,,Cancel,Shards of Alara,33,,,,,,,,,0.04
4,,Carrion Thrash,Shards of Alara,162,,,,,,,,,0.04
4,,Cathartic Adept,Shards of Alara,34,,,,,,,,,0.05
4,,Cavern Thoctar,Shards of Alara,125,,,,,,,,,0.02
4,,Cloudheath Drake,Shards of Alara,35,,,,,,,,,0.03
4,,Coma Veil,Shards of Alara,36,,,,,,,,,0.01
4,,Corpse Connoisseur,Shards of Alara,68,,,,,,,,,0.07
4,,Courier's Capsule,Shards of Alara,37,,,,,,,,,0.05
4,,Court Archers,Shards of Alara,126,,,,,,,,,0.04
4,,Crumbling Necropolis,Shards of Alara,222,,,,,,,,,0.15
4,,Cylian Elf,Shards of Alara,127,,,,,,,,,0.03
4,,Dawnray Archer,Shards of Alara,39,,,,,,,,,0.07
4,,Deathgreeter,Shards of Alara,71,,,,,,,,,0.11
4,,Deft Duelist,Shards of Alara,165,,,,,,,,,0.05
4,,Demon's Herald,Shards of Alara,72,,,,,,,,,0.03
4,,Dispeller's Capsule,Shards of Alara,8,,,,,,,,,0.05
4,,Dragon Fodder,Shards of Alara,97,,,,,,,,,0.05
4,,Dragon's Herald,Shards of Alara,98,,,,,,,,,0.04
4,,Dreg Reaver,Shards of Alara,73,,,,,,,,,0.02
4,,Dregscape Zombie,Shards of Alara,74,,,,,,,,,0.04
4,,Druid of the Anima,Shards of Alara,128,,,,,,,,,0.1
4,,Drumhunter,Shards of Alara,129,,,,,,,,,0.1
4,,Elvish Visionary,Shards of Alara,130,,,,,,,,,0.05
4,,Esper Battlemage,Shards of Alara,40,,,,,,,,,0.04
1,,Esper Charm,Shards of Alara,167,,,,,,,,,1
4,,Esper Panorama,Shards of Alara,223,,,,,,,,,0.1
4,,Etherium Astrolabe,Shards of Alara,41,,,,,,,,,0.04
4,,Etherium Sculptor,Shards of Alara,42,,,,,,,,,0.19
4,,Excommunicate,Shards of Alara,11,,,,,,,,,0.03
4,,Executioner's Capsule,Shards of Alara,75,,,,,,,,,0.05
4,,Exuberant Firestoker,Shards of Alara,99,,,,,,,,,0.04
2,,Fatestitcher,Shards of Alara,43,,,,,,,,,0.69
4,,Filigree Sages,Shards of Alara,44,,,,,,,,,0.07
4,,Fire-Field Ogre,Shards of Alara,168,,,,,,,,,0.04
